osmid,oneway,lanes,ref,highway,maxspeed,length,geometry,name,bridge,width,access,junction,tunnel,service,comprimento_m,comprimento_km
264576678,False,4,,primary,60,395.38399999999996,"LINESTRING (-4790258.249048628 -2609965.694899028, -4790214.2333219685 -2609947.7363462304, -4790187.037970368 -2609938.449113101, -4790117.474420571 -2609918.1476503615, -4789996.548057723 -2609885.9020709875, -4789921.307213895 -2609864.4050531923, -4789846.656363369 -2609844.3935287334)",Rua Doutor Nilo Peçanha,,,,,,,429.4310532567807,0.42943105325678066
203164459,False,2,,residential,,183.452,"LINESTRING (-4790691.938652811 -2610310.4860072928, -4790582.444801665 -2610476.960297553)",Rua Baltazar Sodré,,,,,,,199.25509468099372,0.19925509468099373
311472335,False,4,,primary,60,52.045,"LINESTRING (-4790691.938652811 -2610310.4860072928, -4790728.774272313 -2610321.778282901, -4790745.98426559 -2610327.0560657107)",Rua Doutor Nilo Peçanha,,,,,,,56.52871043840881,0.056528710438408805
311472335,False,4,,primary,60,74.82900000000001,"LINESTRING (-4790691.938652811 -2610310.4860072928, -4790626.905806288 -2610286.5246695476, -4790615.929704497 -2610281.754145283)",Rua Doutor Nilo Peçanha,,,,,,,81.27467376445637,0.08127467376445636
311472335,False,4,,primary,60,8.117,"LINESTRING (-4790875.092611012 -2610360.0150726475, -4790866.276107342 -2610359.954685986)",Rua Doutor Nilo Peçanha,,,,,,,8.816710470077693,0.008816710470077692
971947487,True,,,residential,,59.973,"LINESTRING (-4790875.092611012 -2610360.0150726475, -4790888.1503872825 -2610423.831820576)",Rua Presidente Dutra,,,,,,,65.13895023178469,0.06513895023178469
311472335,False,4,,primary,60,82.985,"LINESTRING (-4790875.092611012 -2610360.0150726475, -4790916.770628365 -2610357.321827756, -4790965.083287369 -2610355.0150578176)",Rua Doutor Nilo Peçanha,,,,,,,90.13264378744745,0.09013264378744745
203164492,False,2,,residential,,262.836,"LINESTRING (-4790965.083287369 -2610355.0150578176, -4790969.9256852195 -2610488.735784545, -4790970.226247844 -2610528.1444756775, -4790969.9256852195 -2610543.374154524, -4790967.97759413 -2610548.603698571, -4790963.947828564 -2610552.8549688593, -4790956.789985306 -2610554.1231036764, -4790880.424814621 -2610536.73154901)",Travessa Cristo Redentor,,,,,,,285.47897894324234,0.2854789789432423
311472335,False,4,,primary,60,130.12800000000001,"LINESTRING (-4790965.083287369 -2610355.0150578176, -4791015.310641615 -2610356.162404081, -4791042.628444656 -2610360.7880219356, -4791075.478826389 -2610368.179351338, -4791103.987747981 -2610376.573103626)",Rua Doutor Nilo Peçanha,,,,,,,141.3376626176591,0.1413376626176591
311472335,False,4,,primary,60,82.985,"LINESTRING (-4790965.083287369 -2610355.0150578176, -4790916.770628365 -2610357.321827756, -4790875.092611012 -2610360.0150726475)",Rua Doutor Nilo Peçanha,,,,,,,90.13264378744745,0.09013264378744745
952369609,False,2,,residential,40,1.192,"LINESTRING (-4791322.3631930705 -2610410.643327765, -4791321.116414773 -2610410.2930840524)",Avenida Presidente Kennedy,,,,,,,1.2950392970109128,0.0012950392970109128
952376178,True,3,,primary,,6.633,"LINESTRING (-4791322.3631930705 -2610410.643327765, -4791329.49877243 -2610411.633672096)",Avenida Presidente Kennedy,,,,,,,7.203976311185089,0.007203976311185089
249980046,False,2,,tertiary,50,69.261,"LINESTRING (-4791696.8196962 -2610511.7312214035, -4791664.815342598 -2610443.6508118063)",Avenida Dezoito do Forte,,,,,,,75.22779287220153,0.07522779287220153
31055634,True,3,,primary,,98.202,"LINESTRING (-4791696.8196962 -2610511.7312214035, -4791764.001008895 -2610529.340143847, -4791799.534190356 -2610540.3910204438)",Avenida Presidente Kennedy,,,,,,,106.66266810077634,0.10666266810077635
182999917,False,,,pedestrian,,64.93299999999999,"LINESTRING (-4791696.8196962 -2610511.7312214035, -4791699.313252795 -2610519.84726562, -4791701.083232698 -2610524.364232439, -4791705.2243177565 -2610532.3474308415, -4791714.051953376 -2610540.209858472, -4791744.954244019 -2610559.3888835777)",Dezoito do Forte,,,,,,,70.52667960948642,0.07052667960948643
31055634,True,3,,primary,,34.722,"LINESTRING (-4791799.534190356 -2610540.3910204438, -4791835.813212406 -2610550.693101161)",Avenida Presidente Kennedy,,,,,,,37.713396930253076,0.03771339693025308
182999915,False,,,pedestrian,,37.986000000000004,"LINESTRING (-4791799.534190356 -2610540.3910204438, -4791797.096293507 -2610550.5964813824, -4791790.328068468 -2610580.6090274723)",,,,,,,,41.258850058473236,0.04125885005847323
"[251330033, 784581083]",True,3,,primary,,46.757000000000005,"LINESTRING (-4792239.569005513 -2610741.9289109376, -4792257.858797849 -2610763.5840850337, -4792272.48617894 -2610780.601472754)",Avenida Presidente Kennedy,,,,,,,50.78538318066915,0.05078538318066915
968669082,False,,,service,,90.11099999999999,"LINESTRING (-4792239.569005513 -2610741.9289109376, -4792244.422535311 -2610736.7113830154, -4792249.64341943 -2610732.822393372, -4792323.693144705 -2610692.6644019317)",,,,,,,,97.87401269720247,0.09787401269720247
